pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
22.50,false,67.85,41.0,6,Day6 10:35~10:40,32.16,0,505.60,349.42,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 14:50~55,31,61,757.7588110689425,750.181222958253,62.49009587242247,0.0,31.31703162771111,375.9547614371082,199.41,117.385002,9.159759437108177
Day1 14:55~60,34,62,737.1165833896689,729.7454175557722,60.787793282395825,0.0,35.46414528511111,425.7400394371081,236.15249999999997,130.42778,9.159759437108177
Day1 15:0~5,37,62,723.9301349631646,716.690833613533,59.700346440007294,0.0,39.86990544251111,478.6303174371082,276.0,143.470558,9.159759437108177
Day1 15:5~10,40,63,710.5545499170587,703.4490044178881,58.59730206801008,0.0,45.78443684991111,549.6330954371082,333.96,156.513336,9.159759437108177
Day1 15:10~15,44,63,695.7824307074716,688.8246064003969,57.37908971315306,0.0,52.158784257311105,626.1558734371081,397.43999999999994,169.556114,9.159759437108177
Day1 15:15~20,48,63,681.2494591335862,674.4369645422504,56.18059914636946,0.0,58.9929476647111,708.1986514371081,466.43999999999994,182.598892,9.159759437108177
Day1 15:20~25,52,62,657.2186672843433,650.6464806114998,54.19885183493793,0.0,67.9106523221111,815.2539294371081,560.4525,195.64167,9.159759437108177
Day1 15:25~30,57,62,641.9624162301837,635.5427920678819,52.94071457925456,0.0,79.3962908480222,953.1367448742161,663.0899999999999,221.727226,18.319518874216353
Day1 15:30~35,62,61,625.8949319036375,619.6359825846012,51.61567734929727,0.0,90.92776129431113,1091.5697634371083,797.64,234.770004,9.159759437108177
Day1 15:35~40,68,60,610.0935426815332,603.9926072547179,50.312584184318,0.0,106.10629707022221,1273.7850788742162,944.6099999999999,260.85556,18.319518874216353
Day1 15:40~45,74,59,592.9114166390478,586.9823024726574,48.89562579597236,0.0,123.8698601350222,1487.033134874216,1131.7724999999998,286.941116,18.319518874216353
Day1 15:45~50,81,57,567.959136837037,562.2795454686667,46.83788613753993,0.0,122.34384421279998,1468.7136159999998,1131.7724999999998,286.941116,0.0
