pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
22.50,true,70.00,39.7,INVALID,Day6 9:15~9:20,41.79,40,492.47,344.15,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 11:45~50,70,84,861.2772030115718,852.6644309814561,71.0269471007553,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:50~55,70,84,860.7190615652308,852.1118709495785,70.98091885009988,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 11:55~60,70,83,874.0644103819883,865.3237662781684,72.08146973097142,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:0~5,70,83,910.328840952737,901.2255525432096,75.07208852684936,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:5~10,70,82,932.6915863419723,923.3646704785526,76.91627705086343,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:10~15,70,82,935.084210808472,925.7333687003872,77.11358961274226,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:15~20,70,82,936.3386392836397,926.9752528908034,77.21703856580392,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:20~25,70,81,937.4999786782048,928.1249788914228,77.31281074165551,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:25~30,70,81,938.5295045595409,929.1442095139455,77.39771265251166,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:30~35,70,81,937.8558435108318,928.4772850757234,77.34215784680777,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:35~40,70,80,937.8571024923887,928.4785314674647,77.34226167123981,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:40~45,70,80,937.0772709535275,927.7064982439923,77.27795130372456,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:45~50,70,80,935.1582627320025,925.8066801046825,77.11969645272005,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:50~55,70,79,933.0249054362824,923.6946563819196,76.9437648766139,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 12:55~60,70,79,930.6701575751883,921.3634559994365,76.74957588475306,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 13:0~5,70,78,928.339812042049,919.0564139216284,76.55739927967164,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 13:5~10,70,78,925.5411225507669,916.2857113252592,76.32659975339409,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 13:10~15,70,78,919.303574129883,910.1105383885844,75.81220784776907,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 13:15~20,70,77,915.8523752920975,906.6938515391765,75.5275978332134,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 13:20~25,70,77,912.2078885762052,903.085809690443,75.2270479472139,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
Day1 13:25~30,70,76,907.4359967831429,898.3616368153114,74.83352434671544,0.0,95.2171297406,1143.062782,845.2499999999999,247.812782,0.0
