pv efficiency (%),constant v (t/f),average v (kph),actual travel time (hr),arrival target (days),arrival,SoC at arrival (%),SoC<10% (times in 5m units),total E input (kWh),average E input (W),-,-
21.00,true,70.00,39.7,INVALID,Day6 9:15~9:20,31.74,259,459.64,321.20,-,-

time,speed (kph),SoC (%),solar input (W/m^2),final solar input (W),final solar input (Wh),regen input (W),total state output (Wh),output (W),air (W),roll (W),acc (W)
Day1 12:10~15,70,67,872.7452634212406,864.0178107870281,71.97268363855945,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:15~20,70,66,873.916063331397,865.176902698083,72.06923599475031,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:20~25,70,65,874.9999800996577,866.2499802986612,72.15862335887847,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:25~30,70,64,875.960870922238,867.2012622130156,72.2378651423442,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:30~35,70,64,875.3321206101098,866.5787994040087,72.18601399035393,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:35~40,70,63,875.3332956595629,866.5799627029671,72.18611089315716,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:40~45,70,62,874.6054528899591,865.8593983610596,72.12608788347626,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:45~50,70,61,872.814378549869,864.0862347643704,71.97838335587205,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:50~55,70,60,870.8232450738636,862.115012623125,71.81418055150631,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 12:55~60,70,59,868.6254804035092,859.939225599474,71.63293749243618,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:0~5,70,58,866.4504912392456,857.7859863268532,71.45357266102687,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:5~10,70,57,863.8383810473823,855.1999972369085,71.23815976983448,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:10~15,70,56,858.0166691878908,849.4365024960118,70.75806065791778,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:15~20,70,55,854.7955502726242,846.2475947698978,70.49242464433249,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:20~25,70,54,851.3940293377914,842.8800890444136,70.21191141739965,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:25~30,70,53,846.9402636642667,838.470861027624,69.84462272360108,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:30~35,70,52,841.4358566995079,833.0214981325128,69.39069079443831,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:35~40,70,51,833.2477632999569,824.9152856669573,68.71544329605754,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:40~45,70,50,828.027641938082,819.7473655187013,68.28495554770781,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:45~50,70,49,822.0237499098823,813.8035124107836,67.78983258381827,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:50~55,70,48,816.4364856312944,808.2721207749814,67.32906766055595,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 13:55~60,70,50,884.8536410146559,928.2157333960257,77.32037059188895,0.0,0.0,0.0,0.0,0.0,174.03542930505535
Day1 14:0~5,0,51,882.4674240808085,873.6427498400004,72.77444106167204,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:5~10,0,53,880.0799080870956,871.2791090062248,72.57754978021852,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:10~15,0,54,876.5909887289704,867.8250788416807,72.289829067512,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:15~20,0,56,869.8389853301868,861.1405954768849,71.73301160322451,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:20~25,0,57,857.8473183031228,849.2688451200916,70.74409479850362,0.0,0.0,0.0,0.0,0.0,0.0
Day1 14:25~30,0,56,759.6619331181709,752.0653137869891,62.64704063845619,0.0,133.18405600171113,1598.8482113050557,1127.0,247.812782,174.03542930505535
Day1 14:30~35,70,54,755.6360892186697,748.079728326483,62.31504136959603,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
Day1 14:35~40,70,53,741.053265957709,733.6427332981318,61.11243968373438,0.0,118.6869047406,1424.812782,1127.0,247.812782,0.0
