air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
29.2,0,0,0,129,119.2,10.22 11:55,10.22 21:25
29,0,0,0,130,120.2,10.22 12:00,10.22 21:30
29,0,0,0,131,121.2,10.22 12:05,10.22 21:35
29,0,0,0,132,122.2,10.22 12:10,10.22 21:40
29,0,0,0,133,123.2,10.22 12:15,10.22 21:45
29,0,0,0,134,124.2,10.22 12:20,10.22 21:50
29,0,0,0,135,125.2,10.22 12:25,10.22 21:55
28.8,0,0,0,136,126.2,10.22 12:30,10.22 22:00
28.8,0,0,0,137,127.2,10.22 12:35,10.22 22:05
28.8,0,0,0,138,129,10.22 12:40,10.22 22:10
28.8,0,0,0,139,130,10.22 12:45,10.22 22:15
28.8,0,0,0,140,131,10.22 12:50,10.22 22:20
28.8,0,0,0,141,132.2,10.22 12:55,10.22 22:25
28.8,0,0,0,142,134,10.22 13:00,10.22 22:30
28.6,0,0,0,142.8,135.2,10.22 13:05,10.22 22:35
28.6,0,0,0,143,137,10.22 13:10,10.22 22:40
28.6,0,0,0,144,138.2,10.22 13:15,10.22 22:45
28.6,0,0,0,145,140,10.22 13:20,10.22 22:50
28.6,0,0,0,146,142,10.22 13:25,10.22 22:55
28.2,0,0,0,146.8,143.2,10.22 13:30,10.22 23:00
28,0,0,0,147,145.2,10.22 13:35,10.22 23:05
28,0,0,0,148,147.2,10.22 13:40,10.22 23:10
28,0,0,0,148.8,149.2,10.22 13:45,10.22 23:15
28,0,0,0,149,151.2,10.22 13:50,10.22 23:20
28,0,0,0,149.8,153.2,10.22 13:55,10.22 23:25
28,0,0,0,150,156,10.22 14:00,10.22 23:30
28,0,0,0,150.8,158,10.22 14:05,10.22 23:35
28,0,0,0,151,160.2,10.22 14:10,10.22 23:40
28,0,0,0,151,163,10.22 14:15,10.22 23:45
28,0,0,0,151.8,165,10.22 14:20,10.22 23:50
28,0,0,0,152,168,10.22 14:25,10.22 23:55
28,0,0,0,152,170.2,10.22 14:30,10.23 0:00
28,0,0,0,152,173,10.22 14:35,10.23 0:05
28,0,0,0,152.8,176,10.22 14:40,10.23 0:10
28,0,0,0,152.8,178,10.22 14:45,10.23 0:15
28,0,0,0,152.8,-179,10.22 14:50,10.23 0:20
28,0,0,0,152.8,-176,10.22 14:55,10.23 0:25
28,0,0,0,152.8,-174,10.22 15:00,10.23 0:30
28,0,0,0,152,-171,10.22 15:05,10.23 0:35
28,0,0,0,152,-168.2,10.22 15:10,10.23 0:40
27.8,0,0,0,152,-166,10.22 15:15,10.23 0:45
27.6,0,0,0,151.8,-163.2,10.22 15:20,10.23 0:50
27.6,0,0,0,151,-161,10.22 15:25,10.23 0:55
27.4,0,0,0,150.8,-159,10.22 15:30,10.23 1:00
27.4,0,0,0,150,-156,10.22 15:35,10.23 1:05
27.2,0,0,0,149.8,-154,10.22 15:40,10.23 1:10
27.2,0,0,0,149,-152,10.22 15:45,10.23 1:15
27,0,0,0,148.8,-150,10.22 15:50,10.23 1:20
26.8,0,0,0,148,-148,10.22 15:55,10.23 1:25
26.6,0,0,0,147,-146,10.22 16:00,10.23 1:30
26.6,0,0,0,146.8,-144,10.22 16:05,10.23 1:35
26.6,0,0,0,146,-142,10.22 16:10,10.23 1:40
26.6,0,0,0,145,-140.2,10.22 16:15,10.23 1:45
26.8,0,0,0,144,-139,10.22 16:20,10.23 1:50
26.8,0,0,0,143.8,-137.2,10.22 16:25,10.23 1:55
26.8,0,0,0,143,-136,10.22 16:30,10.23 2:00
26.8,0,0,0,142,-134.2,10.22 16:35,10.23 2:05
26.8,0,0,0,141,-133,10.22 16:40,10.23 2:10
26.8,0,0,0,140,-131.2,10.22 16:45,10.23 2:15
26.6,0,0,0,139,-130.2,10.22 16:50,10.23 2:20
26.6,0,0,0,138,-129,10.22 16:55,10.23 2:25
26.6,0,0,0,137,-128,10.22 17:00,10.23 2:30
26.4,0,0,0,136.8,-127,10.22 17:05,10.23 2:35
26.4,0,0,0,135.8,-126,10.22 17:10,10.23 2:40
26.4,0,0,0,134.8,-125,10.22 17:15,10.23 2:45
26.4,0,0,0,133.8,-123.2,10.22 17:20,10.23 2:50
26.4,0,0,0,132.8,-123,10.22 17:25,10.23 2:55
26.4,0,0,0,131.8,-122,10.22 17:30,10.23 3:00
26.4,0,0,0,130.8,-121,10.22 17:35,10.23 3:05
26.4,0,0,0,129,-120,10.22 17:40,10.23 3:10
26.4,0,0,0,128,-119,10.22 17:45,10.23 3:15
26.4,0,0,0,127,-118.2,10.22 17:50,10.23 3:20
26.4,0,0,0,126,-117.2,10.22 17:55,10.23 3:25
26.4,0,0,0,125,-117,10.22 18:00,10.23 3:30
26.4,0,0,0,124,-116,10.22 18:05,10.23 3:35
26.4,0,0,0,123,-115.2,10.22 18:10,10.23 3:40
26.2,0,0,0,122,-115,10.22 18:15,10.23 3:45
26,0,0,0,121,-114,10.22 18:20,10.23 3:50
26,0,0,0,120,-113.2,10.22 18:25,10.23 3:55
26,0,0,0,119,-113,10.22 18:30,10.23 4:00
25.8,0,0,0,117.8,-112,10.22 18:35,10.23 4:05
25.8,0,0,0,116.8,-111.2,10.22 18:40,10.23 4:10
25.8,0,0,0,115,-111,10.22 18:45,10.23 4:15
25.8,0,0,0,114,-110.2,10.22 18:50,10.23 4:20
25.6,0,0,0,113,-110,10.22 18:55,10.23 4:25
25.6,0,0,0,112,-109.2,10.22 19:00,10.23 4:30
25.6,0,0,0,111,-109,10.22 19:05,10.23 4:35
25.4,0,0,0,110,-108.2,10.22 19:10,10.23 4:40
25.4,0,0,0,108.8,-108,10.22 19:15,10.23 4:45
25.2,0,0,0,107,-107.2,10.22 19:20,10.23 4:50
25.2,0,0,0,106,-107,10.22 19:25,10.23 4:55
25.2,0,0,0,105,-106.2,10.22 19:30,10.23 5:00
25.2,0,0,0,104,-106,10.22 19:35,10.23 5:05
25.2,0,0,0,103,-106,10.22 19:40,10.23 5:10
25.2,0,0,0,102,-105,10.22 19:45,10.23 5:15
25.2,0,0,0,100.8,-105,10.22 19:50,10.23 5:20
25,0,0,0,99,-104.2,10.22 19:55,10.23 5:25
25,0,0,0,98,-104,10.22 20:00,10.23 5:30
25,0,0,0,97,-103.2,10.22 20:05,10.23 5:35
25,0,0,0,96,-103,10.22 20:10,10.23 5:40
25,0,0,0,95,-103,10.22 20:15,10.23 5:45
25,0,0,0,93.8,-102.2,10.22 20:20,10.23 5:50
25,0,0,0,92,-102,10.22 20:25,10.23 5:55
25,0,0,0,91,-102,10.22 20:30,10.23 6:00
25.2,0,0,0,90,-101.2,10.22 20:35,10.23 6:05
25.2,5.4,6.6,5.8,89,-101,10.22 20:40,10.23 6:10
25.2,11.4,31,14.4,88,-101,10.22 20:45,10.23 6:15
25.2,17.4,73.6,23.8,86.8,-100,10.22 20:50,10.23 6:20
25.2,24.2,128.8,35.2,85,-100,10.22 20:55,10.23 6:25
25.4,31.4,148.6,46.4,84,-99.2,10.22 21:00,10.23 6:30
26,38,175.6,59.4,83,-99,10.22 21:05,10.23 6:35
26.2,44.2,200.2,72.8,82,-99,10.22 21:10,10.23 6:40
26.6,52.2,206.8,86,80.8,-98.2,10.22 21:15,10.23 6:45
27,53.8,222.4,94.6,79,-98,10.22 21:20,10.23 6:50
27.2,54.8,238.4,103.4,78,-98,10.22 21:25,10.23 6:55
27.6,59.8,268.4,119.8,77,-98,10.22 21:30,10.23 7:00
28,63.8,297.8,136.4,76,-97.2,10.22 21:35,10.23 7:05
28.4,68.6,313.6,151.4,75,-97,10.22 21:40,10.23 7:10
28.6,73,327.8,166.2,73,-97,10.22 21:45,10.23 7:15
28.8,82.2,341.2,185.8,72,-96.2,10.22 21:50,10.23 7:20
29.6,91.2,353.6,205.6,71,-96,10.22 21:55,10.23 7:25
29.8,89.4,365.4,214.6,70,-96,10.22 22:00,10.23 7:30
29.8,88.6,375.8,225,69,-95.2,10.22 22:05,10.23 7:35
30,110.4,386.2,258,67.8,-95,10.22 22:10,10.23 7:40
30,131,395.4,290,66,-95,10.22 22:15,10.23 7:45
30.4,128.8,404.6,299,65,-94.2,10.22 22:20,10.23 7:50
30.4,123.6,412.6,304.8,64,-94,10.22 22:25,10.23 7:55
30.4,112.2,420.6,304.8,63,-94,10.22 22:30,10.23 8:00
30.4,102.2,428,305.8,61.8,-93.2,10.22 22:35,10.23 8:05
30.6,118.6,434.6,333.8,60,-93,10.22 22:40,10.23 8:10
30.8,131.6,456.2,365.4,59,-93,10.22 22:45,10.23 8:15
31,137.6,521.8,414.2,58,-92.2,10.22 22:50,10.23 8:20
31,145,569.2,456.8,57,-92.2,10.22 22:55,10.23 8:25
31,136.4,576.8,462.8,55.8,-92,10.22 23:00,10.23 8:30
31,129,584.4,469.2,54,-91.2,10.22 23:05,10.23 8:35
31.2,129.8,591.2,484.2,53,-91.2,10.22 23:10,10.23 8:40
31.2,131.8,598,500.2,52,-91,10.22 23:15,10.23 8:45
31.2,143.8,604.2,525.8,51,-90.2,10.22 23:20,10.23 8:50
31.4,155.6,609.8,551,49.8,-90.2,10.22 23:25,10.23 8:55
31.4,154.2,615.8,563.4,48,-90,10.22 23:30,10.23 9:00
31.4,154.2,621.6,576.4,47,-89.2,10.22 23:35,10.23 9:05
31.4,165.8,627,601.4,46,-89,10.22 23:40,10.23 9:10
31.4,177.8,632.2,626,45,-89,10.22 23:45,10.23 9:15
31.4,185.2,636.8,646.2,43.8,-88.2,10.22 23:50,10.23 9:20
31.4,188.6,648.6,667.2,42,-88,10.22 23:55,10.23 9:25
31.6,180.8,686.8,697.4,41,-87.2,10.23 00:00,10.23 9:30
31.8,172.4,717.8,722.6,40,-87,10.23 00:05,10.23 9:35
32.4,193,654.6,703.4,39,-86.2,10.23 00:10,10.23 9:40
32.4,166.2,658.4,688,37.8,-86.2,10.23 00:15,10.23 9:45
32.6,164.6,662.2,697.6,36,-86,10.23 00:20,10.23 9:50
32.8,164.4,665.8,708.6,35,-85.2,10.23 00:25,10.23 9:55
32.8,188,649.6,726.8,34,-85,10.23 00:30,10.23 10:00
33.4,226,606.2,735.6,33,-84.2,10.23 00:35,10.23 10:05
33.6,231.2,635.2,772.2,32,-83.2,10.23 00:40,10.23 10:10
33.8,219.6,674.6,801,30,-83.2,10.23 00:45,10.23 10:15
33.8,271.2,565.6,764.6,29,-82.2,10.23 00:50,10.23 10:20
34,259.6,538.6,735.2,28,-82,10.23 00:55,10.23 10:25
34.4,231.6,593.4,761,27,-81.2,10.23 01:00,10.23 10:30
34.6,199.2,651,786,26,-80.2,10.23 01:05,10.23 10:35
34.6,220,658.4,819.2,24.8,-79.2,10.23 01:10,10.23 10:40
34.6,232.2,676.2,853.4,23,-78.2,10.23 01:15,10.23 10:45
34.6,198.8,754.4,897.8,22,-77.2,10.23 01:20,10.23 10:50
34.6,161.6,828.6,935.2,21,-76.2,10.23 01:25,10.23 10:55
35,165.8,823.8,941,20,-75.2,10.23 01:30,10.23 11:00
35.2,173,814.2,944.2,19,-74.2,10.23 01:35,10.23 11:05
35.2,206,754.6,925.4,17.8,-73.2,10.23 01:40,10.23 11:10
35.4,234.4,699.6,905.6,16,-71.2,10.23 01:45,10.23 11:15
35.8,230,716.6,921.6,15,-69.2,10.23 01:50,10.23 11:20
35.8,224,734,936,14,-67.2,10.23 01:55,10.23 11:25
35.8,218.8,745.6,945.2,13,-65.2,10.23 02:00,10.23 11:30
36,219.8,740.2,944,12,-62.2,10.23 02:05,10.23 11:35
36,244.8,694,926,11,-59.2,10.23 02:10,10.23 11:40
36,273.2,639,902.8,10,-55.2,10.23 02:15,10.23 11:45
36,241.6,685.4,918.6,9,-50.4,10.23 02:20,10.23 11:50
36.2,230.4,697.8,921,8,-44.4,10.23 02:25,10.23 11:55
36.2,234.8,715,944,7,-37.4,10.23 02:30,10.23 12:00
36.2,221,747.2,963.4,6.8,-29.2,10.23 02:35,10.23 12:05
36.4,240.6,702.4,938.8,6,-19.2,10.23 02:40,10.23 12:10
36.4,224.6,693.8,914.8,6,-7.2,10.23 02:45,10.23 12:15
36.4,217.8,669.8,884.2,6,5,10.23 02:50,10.23 12:20
36.8,210.8,653.4,860.4,6,16.2,10.23 02:55,10.23 12:25
36.8,195.2,692.4,883.2,6.8,27.2,10.23 03:00,10.23 12:30
36.8,209.4,691.4,895,7,36.2,10.23 03:05,10.23 12:35
36.8,234.2,720,947.4,8,43.4,10.23 03:10,10.23 12:40
37,173.2,833.4,996.8,9,49.4,10.23 03:15,10.23 12:45
37.2,195.4,794.2,978.4,10,54.4,10.23 03:20,10.23 12:50
37.4,212,762.8,961.4,11,58.4,10.23 03:25,10.23 12:55
37.4,218.6,748.2,951,12,61.4,10.23 03:30,10.23 13:00
37.4,240,707.6,929.8,13,64.4,10.23 03:35,10.23 13:05
37.4,352.8,493.2,831.4,14,67.2,10.23 03:40,10.23 13:10
37.4,347.6,421.4,754.8,15,69.2,10.23 03:45,10.23 13:15
37.4,345.6,502,827.6,16,71.2,10.23 03:50,10.23 13:20
37.4,282.2,624.8,879,17,72.4,10.23 03:55,10.23 13:25
37.6,278.6,619,865.6,18,74.2,10.23 04:00,10.23 13:30
37.8,267.6,617.4,849.4,19.8,75.2,10.23 04:05,10.23 13:35
37.8,257.4,632,848.6,21,76.2,10.23 04:10,10.23 13:40
37.8,256.8,631,842.4,22,77.2,10.23 04:15,10.23 13:45
37.8,269,619.8,839.2,23,78.2,10.23 04:20,10.23 13:50
38,270.4,615.8,832,24,79.2,10.23 04:25,10.23 13:55
38,274.8,604.6,821,25,80.2,10.23 04:30,10.23 14:00
38,274.6,599.6,810.8,27,81.2,10.23 04:35,10.23 14:05
38,262.8,614.6,807,28,82,10.23 04:40,10.23 14:10
38,260.8,611,795.2,29,82.2,10.23 04:45,10.23 14:15
38.2,248.4,629.8,792.8,30,83.2,10.23 04:50,10.23 14:20
38,247.4,624.4,781,31,83.2,10.23 04:55,10.23 14:25
38,247.4,593,747.4,32.8,84.2,10.23 05:00,10.23 14:30
38.2,179.8,630.2,704.2,34,85,10.23 05:05,10.23 14:35
38,218.2,652.6,753.6,35,85.2,10.23 05:10,10.23 14:40
38,181.4,730,771,36,86,10.23 05:15,10.23 14:45
38,178.2,728.6,757.6,37,86.2,10.23 05:20,10.23 14:50
38,175.4,726.2,744,38,87,10.23 05:25,10.23 14:55
