air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
21.12,0,0,0,135.8,150,10.22 13:20,10.22 22:50
21.04,0,0,0,136,152,10.22 13:25,10.22 22:55
20.98,0,0,0,136.8,153.2,10.22 13:30,10.22 23:00
20.92,0,0,0,137,155,10.22 13:35,10.22 23:05
20.84,0,0,0,137.8,157,10.22 13:40,10.22 23:10
20.8,0,0,0,138,158.2,10.22 13:45,10.22 23:15
20.74,0,0,0,138,160,10.22 13:50,10.22 23:20
20.66,0,0,0,138.8,162,10.22 13:55,10.22 23:25
20.62,0,0,0,139,164,10.22 14:00,10.22 23:30
20.5,0,0,0,139,166,10.22 14:05,10.22 23:35
20.36,0,0,0,139.8,167.2,10.22 14:10,10.22 23:40
20.28,0,0,0,139.8,169.2,10.22 14:15,10.22 23:45
20.14,0,0,0,140,171,10.22 14:20,10.22 23:50
20.04,0,0,0,140,173,10.22 14:25,10.22 23:55
19.9,0,0,0,140,175,10.22 14:30,10.23 0:00
19.8,0,0,0,140,177,10.22 14:35,10.23 0:05
19.66,0,0,0,140,179,10.22 14:40,10.23 0:10
19.58,0,0,0,140,-179,10.22 14:45,10.23 0:15
19.44,0,0,0,140,-177,10.22 14:50,10.23 0:20
19.32,0,0,0,140,-175,10.22 14:55,10.23 0:25
19.24,0,0,0,140,-173,10.22 15:00,10.23 0:30
19.1,0,0,0,140,-172,10.22 15:05,10.23 0:35
18.96,0,0,0,139.8,-170,10.22 15:10,10.23 0:40
18.82,0,0,0,139.8,-168,10.22 15:15,10.23 0:45
18.66,0,0,0,139,-166,10.22 15:20,10.23 0:50
18.54,0,0,0,139,-164,10.22 15:25,10.23 0:55
18.42,0,0,0,138.8,-162,10.22 15:30,10.23 1:00
18.28,0,0,0,138,-161,10.22 15:35,10.23 1:05
18.14,0,0,0,138,-159,10.22 15:40,10.23 1:10
18,0,0,0,137.8,-157,10.22 15:45,10.23 1:15
17.84,0,0,0,137,-155,10.22 15:50,10.23 1:20
17.72,0,0,0,136.8,-154,10.22 15:55,10.23 1:25
17.64,0,0,0,136,-152,10.22 16:00,10.23 1:30
17.54,0,0,0,135.8,-150.2,10.22 16:05,10.23 1:35
17.46,0,0,0,135,-149,10.22 16:10,10.23 1:40
17.36,0,0,0,134.8,-147.2,10.22 16:15,10.23 1:45
17.26,0,0,0,134,-146,10.22 16:20,10.23 1:50
17.18,0,0,0,133,-144.2,10.22 16:25,10.23 1:55
17.12,0,0,0,132.8,-143,10.22 16:30,10.23 2:00
17.04,0,0,0,132,-142,10.22 16:35,10.23 2:05
16.94,0,0,0,131,-140,10.22 16:40,10.23 2:10
16.84,0,0,0,130.8,-139,10.22 16:45,10.23 2:15
16.76,0,0,0,130,-138,10.22 16:50,10.23 2:20
16.66,0,0,0,129,-136.2,10.22 16:55,10.23 2:25
16.6,0,0,0,128,-135,10.22 17:00,10.23 2:30
16.5,0,0,0,127.8,-134,10.22 17:05,10.23 2:35
16.4,0,0,0,126.8,-133,10.22 17:10,10.23 2:40
16.32,0,0,0,126,-132,10.22 17:15,10.23 2:45
16.24,0,0,0,125,-130.2,10.22 17:20,10.23 2:50
16.12,0,0,0,124,-129.2,10.22 17:25,10.23 2:55
16.08,0,0,0,123,-128.2,10.22 17:30,10.23 3:00
15.96,0,0,0,122.8,-127.2,10.22 17:35,10.23 3:05
15.88,0,0,0,121.8,-126.2,10.22 17:40,10.23 3:10
15.8,0,0,0,121,-125.2,10.22 17:45,10.23 3:15
15.7,0,0,0,120,-124.2,10.22 17:50,10.23 3:20
15.6,0,0,0,119,-123.2,10.22 17:55,10.23 3:25
15.54,0,0,0,118,-122.2,10.22 18:00,10.23 3:30
15.46,0,0,0,117,-122,10.22 18:05,10.23 3:35
15.4,0,0,0,116,-121,10.22 18:10,10.23 3:40
15.36,0,0,0,115,-120,10.22 18:15,10.23 3:45
15.32,0,0,0,114,-119,10.22 18:20,10.23 3:50
15.24,0,0,0,113,-118,10.22 18:25,10.23 3:55
15.2,0,0,0,112,-117.2,10.22 18:30,10.23 4:00
15.12,0,0,0,111,-116.2,10.22 18:35,10.23 4:05
15.08,0,0,0,110,-116,10.22 18:40,10.23 4:10
15.04,0,0,0,109,-115,10.22 18:45,10.23 4:15
14.98,0,0,0,108,-114,10.22 18:50,10.23 4:20
14.9,0,0,0,107,-113.2,10.22 18:55,10.23 4:25
14.88,0,0,0,106,-113,10.22 19:00,10.23 4:30
14.88,0,0,0,105,-112,10.22 19:05,10.23 4:35
14.86,0,0,0,104,-111,10.22 19:10,10.23 4:40
14.84,0,0,0,103,-110.2,10.22 19:15,10.23 4:45
14.82,0,0,0,102,-110,10.22 19:20,10.23 4:50
14.82,0,0,0,101,-109,10.22 19:25,10.23 4:55
14.8,0,0,0,100,-108.2,10.22 19:30,10.23 5:00
14.8,0,0,0,99,-108,10.22 19:35,10.23 5:05
14.78,0,0,0,98,-107,10.22 19:40,10.23 5:10
14.76,0,0,0,97,-106.2,10.22 19:45,10.23 5:15
14.74,0,0,0,96,-106,10.22 19:50,10.23 5:20
14.74,0,0,0,95,-105.2,10.22 19:55,10.23 5:25
14.74,0,0,0,94,-105,10.22 20:00,10.23 5:30
14.76,0,0,0,93,-104,10.22 20:05,10.23 5:35
14.8,0,0,0,92,-103.2,10.22 20:10,10.23 5:40
14.88,0,0,0,91,-103,10.22 20:15,10.23 5:45
14.9,1.6,0.8,1.8,90,-102,10.22 20:20,10.23 5:50
14.92,8.6,12.6,9.6,88.8,-102,10.22 20:25,10.23 5:55
14.94,15.6,43.4,19.2,87.8,-101,10.22 20:30,10.23 6:00
14.96,22.4,94.4,30.4,86.8,-100.2,10.22 20:35,10.23 6:05
14.98,29.6,170.8,44.6,85,-100,10.22 20:40,10.23 6:10
15.06,36.2,223.8,58.2,84,-99,10.22 20:45,10.23 6:15
15.1,42,256.2,72.2,83,-99,10.22 20:50,10.23 6:20
15.12,46.4,291.2,86,82,-98,10.22 20:55,10.23 6:25
15.26,53.6,330.8,105,81,-97.2,10.22 21:00,10.23 6:30
15.52,56.8,352.4,118.2,80,-97,10.22 21:05,10.23 6:35
15.78,56.2,379.4,129.4,79,-96.2,10.22 21:10,10.23 6:40
16.06,66.6,404,152,78,-96,10.22 21:15,10.23 6:45
16.32,68,427.2,166,77,-95,10.22 21:20,10.23 6:50
16.58,70.2,448,181.4,75.8,-94.2,10.22 21:25,10.23 6:55
16.86,74.6,467.6,199.6,74.8,-94,10.22 21:30,10.23 7:00
17.12,84.2,485.6,222.6,73,-93.2,10.22 21:35,10.23 7:05
17.38,84.8,502.2,237.2,72,-93,10.22 21:40,10.23 7:10
17.66,81.2,518,247.6,71,-92,10.22 21:45,10.23 7:15
17.92,77.2,532.2,258,70,-92,10.22 21:50,10.23 7:20
18.18,81.4,545.8,276.4,69,-91,10.22 21:55,10.23 7:25
18.36,94.2,558.6,303.4,68,-90.2,10.22 22:00,10.23 7:30
18.48,99.8,570.4,323.8,67,-90,10.22 22:05,10.23 7:35
18.54,106,581.6,344.6,66,-89,10.22 22:10,10.23 7:40
18.66,110.4,592.2,363.4,65,-89,10.22 22:15,10.23 7:45
18.74,115,602.2,382.6,63.8,-88,10.22 22:20,10.23 7:50
