air_temp,dhi,dni,ghi,zenith,azimuth,Period_Start,ACST_Start
27.6,0,0,0,122,121,10.22 11:35,10.22 21:05
27.6,0,0,0,123,122,10.22 11:40,10.22 21:10
27.6,0,0,0,124,123,10.22 11:45,10.22 21:15
27.6,0,0,0,125,123.2,10.22 11:50,10.22 21:20
27.6,0,0,0,126,124.2,10.22 11:55,10.22 21:25
27,0,0,0,127,125.2,10.22 12:00,10.22 21:30
27.2,0,0,0,128,126.2,10.22 12:05,10.22 21:35
27.2,0,0,0,128.8,127.2,10.22 12:10,10.22 21:40
27,0,0,0,129.8,129,10.22 12:15,10.22 21:45
26.8,0,0,0,130,130,10.22 12:20,10.22 21:50
26.8,0,0,0,131,131,10.22 12:25,10.22 21:55
26.6,0,0,0,132,132,10.22 12:30,10.22 22:00
26.6,0,0,0,133,133.2,10.22 12:35,10.22 22:05
26.4,0,0,0,134,134.2,10.22 12:40,10.22 22:10
26.2,0,0,0,134.8,136,10.22 12:45,10.22 22:15
26.2,0,0,0,135,137,10.22 12:50,10.22 22:20
26,0,0,0,136,138.2,10.22 12:55,10.22 22:25
26,0,0,0,137,140,10.22 13:00,10.22 22:30
26,0,0,0,137.8,141.2,10.22 13:05,10.22 22:35
25.8,0,0,0,138,143,10.22 13:10,10.22 22:40
25.6,0,0,0,139,144.2,10.22 13:15,10.22 22:45
25.6,0,0,0,139.8,146,10.22 13:20,10.22 22:50
25.6,0,0,0,140,148,10.22 13:25,10.22 22:55
25.6,0,0,0,141,149.2,10.22 13:30,10.22 23:00
25.6,0,0,0,141,151,10.22 13:35,10.22 23:05
25.6,0,0,0,142,153,10.22 13:40,10.22 23:10
25.4,0,0,0,142.8,155,10.22 13:45,10.22 23:15
25.2,0,0,0,143,157,10.22 13:50,10.22 23:20
25.2,0,0,0,143,158.2,10.22 13:55,10.22 23:25
25.2,0,0,0,144,160.2,10.22 14:00,10.22 23:30
25.2,0,0,0,144,162.2,10.22 14:05,10.22 23:35
25,0,0,0,144.8,164.2,10.22 14:10,10.22 23:40
25,0,0,0,144.8,167,10.22 14:15,10.22 23:45
25,0,0,0,145,169,10.22 14:20,10.22 23:50
25,0,0,0,145,171,10.22 14:25,10.22 23:55
25,0,0,0,145,173,10.22 14:30,10.23 0:00
25,0,0,0,145.8,175,10.22 14:35,10.23 0:05
25,0,0,0,145.8,177,10.22 14:40,10.23 0:10
25,0,0,0,145.8,179,10.22 14:45,10.23 0:15
24.8,0,0,0,145.8,-178,10.22 14:50,10.23 0:20
24.4,0,0,0,145.8,-176,10.22 14:55,10.23 0:25
24.4,0,0,0,145,-174,10.22 15:00,10.23 0:30
24.4,0,0,0,145,-172,10.22 15:05,10.23 0:35
24.4,0,0,0,145,-170,10.22 15:10,10.23 0:40
24.2,0,0,0,145,-168,10.22 15:15,10.23 0:45
24.2,0,0,0,144.8,-166,10.22 15:20,10.23 0:50
24.2,0,0,0,144,-164,10.22 15:25,10.23 0:55
24,0,0,0,144,-162,10.22 15:30,10.23 1:00
23.8,0,0,0,143.8,-160,10.22 15:35,10.23 1:05
23.8,0,0,0,143,-158,10.22 15:40,10.23 1:10
23.6,0,0,0,142.8,-156,10.22 15:45,10.23 1:15
23.4,0,0,0,142,-154,10.22 15:50,10.23 1:20
23.4,0,0,0,141.8,-152,10.22 15:55,10.23 1:25
23.4,0,0,0,141,-150.2,10.22 16:00,10.23 1:30
23,0,0,0,140.8,-149,10.22 16:05,10.23 1:35
22.8,0,0,0,140,-147,10.22 16:10,10.23 1:40
22.8,0,0,0,139,-145.2,10.22 16:15,10.23 1:45
22.8,0,0,0,138.8,-144,10.22 16:20,10.23 1:50
22.8,0,0,0,138,-142,10.22 16:25,10.23 1:55
22.6,0,0,0,137,-141,10.22 16:30,10.23 2:00
22.4,0,0,0,136.8,-139.2,10.22 16:35,10.23 2:05
22.2,0,0,0,136,-138,10.22 16:40,10.23 2:10
22.2,0,0,0,135,-137,10.22 16:45,10.23 2:15
22.2,0,0,0,134,-135.2,10.22 16:50,10.23 2:20
22,0,0,0,133,-134,10.22 16:55,10.23 2:25
22,0,0,0,132.8,-133,10.22 17:00,10.23 2:30
22,0,0,0,131.8,-132,10.22 17:05,10.23 2:35
22,0,0,0,131,-130.2,10.22 17:10,10.23 2:40
22,0,0,0,130,-129.2,10.22 17:15,10.23 2:45
22,0,0,0,129,-128,10.22 17:20,10.23 2:50
22,0,0,0,128,-127,10.22 17:25,10.23 2:55
22,0,0,0,127,-126,10.22 17:30,10.23 3:00
22,0,0,0,126,-125,10.22 17:35,10.23 3:05
22,0,0,0,125,-124,10.22 17:40,10.23 3:10
21.8,0,0,0,124,-123,10.22 17:45,10.23 3:15
21.8,0,0,0,123,-122.2,10.22 17:50,10.23 3:20
21.6,0,0,0,122,-121.2,10.22 17:55,10.23 3:25
21.6,0,0,0,121.8,-120.2,10.22 18:00,10.23 3:30
21.6,0,0,0,120.8,-120,10.22 18:05,10.23 3:35
21.6,0,0,0,119.8,-119,10.22 18:10,10.23 3:40
21.4,0,0,0,118.8,-118,10.22 18:15,10.23 3:45
21.2,0,0,0,117.8,-117.2,10.22 18:20,10.23 3:50
21.2,0,0,0,116,-116.2,10.22 18:25,10.23 3:55
21,0,0,0,115,-116,10.22 18:30,10.23 4:00
20.8,0,0,0,114,-115,10.22 18:35,10.23 4:05
20.6,0,0,0,113,-114.2,10.22 18:40,10.23 4:10
20.6,0,0,0,112,-114,10.22 18:45,10.23 4:15
20.6,0,0,0,111,-113,10.22 18:50,10.23 4:20
20.4,0,0,0,110,-112.2,10.22 18:55,10.23 4:25
20.4,0,0,0,109,-112,10.22 19:00,10.23 4:30
